10,Empresa 10 SAC,2010000010,6201,Servicios,Representante 10,empresa10@correo.com,9000000010
1,Empresa 1 SAC,2010000001,6202,Comercio,Representante 1,empresa1@correo.com,900000001
6,Empresa 6 SAC,2010000006,6202,Servicios,Representante 6,empresa6@correo.com,900000006
2,Empresa 2 SAC,2010000002,6203,Servicios,Representante 2,empresa2@correo.com,900000002
3,Empresa 3 SAC,2010000003,6204,Comercio,Representante 3,empresa3@correo.com,900000003
4,Empresa 4 SAC,2010000004,6205,Servicios,Representante 4,empresa4@correo.com,900000004
5,Empresa 5 SAC,2010000005,6201,Comercio,Representante 5,empresa5@correo.com,900000005
8,Empresa 8 SAC,2010000008,6204,Servicios,Representante 8,empresa8@correo.com,900000008
7,Empresa 7 SAC,2010000007,6203,Comercio,Representante 7,empresa7@correo.com,900000007
9,Empresa 9 SAC,2010000009,6205,Comercio,Representante 9,empresa9@correo.com,900000009
